"_time",Image,CommandLine,ParentImage
"2026-05-18T13:09:01.230+0400","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe","btool  server list sslConfig --no-log","C:\Windows\System32\cmd.exe"
"2026-05-18T13:09:01.165+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c btool server list sslConfig --no-log","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"
"2026-05-18T13:09:00.937+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:09:00.618+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","""C:\Program Files\SplunkUniversalForwarder\bin\SplunkD.EXE"" btool server list watchdog --no-log","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe"
"2026-05-18T13:09:00.534+0400","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe","btool  server list watchdog --no-log","C:\Windows\System32\cmd.exe"
"2026-05-18T13:09:00.482+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c btool server list watchdog --no-log","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"
"2026-05-18T13:09:00.281+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k osprivacy -p -s camsvc","C:\Windows\System32\services.exe"
"2026-05-18T13:09:00.222+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","""C:\Program Files\SplunkUniversalForwarder\bin\SplunkD.EXE"" btool server list kvstore --no-log","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe"
"2026-05-18T13:09:00.192+0400","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe","btool  server list kvstore --no-log","C:\Windows\System32\cmd.exe"
"2026-05-18T13:09:00.141+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c btool server list kvstore --no-log","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"
"2026-05-18T13:08:59.986+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","""C:\Program Files\SplunkUniversalForwarder\bin\SplunkD.EXE"" btool server list general --no-log","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe"
"2026-05-18T13:08:59.957+0400","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe","btool  server list general --no-log","C:\Windows\System32\cmd.exe"
"2026-05-18T13:08:59.872+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c btool server list general --no-log","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"
"2026-05-18T13:08:59.760+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","""C:\Program Files\SplunkUniversalForwarder\bin\SplunkD.EXE"" btool web list settings --no-log","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe"
"2026-05-18T13:08:59.686+0400","C:\Program Files\SplunkUniversalForwarder\bin\btool.exe","btool  web list settings --no-log","C:\Windows\System32\cmd.exe"
"2026-05-18T13:08:59.424+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c btool web list settings --no-log","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"
"2026-05-18T13:08:59.346+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe""  _internal_extra_splunkd_service_args","C:\Windows\System32\cmd.exe"
"2026-05-18T13:08:59.302+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c ""C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"" _internal_extra_splunkd_service_args","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T13:08:59.011+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe""  _RAW_envvars","C:\Windows\System32\cmd.exe"
"2026-05-18T13:08:58.833+0400","C:\Windows\System32\cmd.exe","C:\Windows\system32\cmd.exe /c ""C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"" _RAW_envvars","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T13:08:58.487+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"" service","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.361+0400","C:\Windows\System32\wbem\unsecapp.exe","C:\Windows\system32\wbem\unsecapp.exe -Embedding","C:\Windows\System32\svchost.exe"
"2026-05-18T13:08:57.343+0400","C:\Windows\Sysmon64.exe","C:\Windows\Sysmon64.exe","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.341+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.340+0400","C:\Windows\System32\wlms\wlms.exe","C:\Windows\system32\wlms\wlms.exe","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.338+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k WSAIFabricSvcGroup -p -s WSAIFabricSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.332+0400","C:\Program Files\Windows Defender\MsMpEng.exe","""C:\Program Files\Windows Defender\MsMpEng.exe""","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.331+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.331+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.330+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.329+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.328+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.327+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k utcsvc -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.326+0400","C:\Windows\System32\taskhostw.exe","taskhostw.exe TimeSyncTask","C:\Windows\System32\svchost.exe"
"2026-05-18T13:08:57.325+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.324+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.323+0400","C:\Windows\System32\spoolsv.exe","C:\Windows\System32\spoolsv.exe","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.321+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection","C:\Windows\System32\services.exe"
